sim.id,variable,measurement,method,value
23,tau,mean,mcmc,1.11560802775812
23,tau,sd,mcmc,0.113846756463771
23,tau,effsize,mcmc,1148.8412046802
23,log_tau,mean,mcmc,0.10420842049387
23,log_tau,sd,mcmc,0.101994757492825
24,mu,mean,truth,2.64282644300016
24,tau,mean,truth,2.31965218695571
24,log_tau,mean,truth,0.841417255023539
24,mu,mean,mfvb,2.55904110596442
24,tau,mean,mfvb,2.07699424100073
24,log_tau,mean,mfvb,0.728936332905968
24,mu,sd,mfvb,0.0321186449407027
24,tau,sd,mfvb,0.130838338957174
24,log_tau,sd,mfvb,0.0630566245743312
24,mu,sd,lrvb,0.0457701278178715
24,tau,sd,lrvb,0.235614376844088
24,log_tau,sd,lrvb,0.113474816305253
24,mu,mean,mcmc,2.55743420299924
24,mu,sd,mcmc,0.0459266521546635
24,mu,effsize,mcmc,1334.08587753856
24,tau,mean,mcmc,2.0251998307436
24,tau,sd,mcmc,0.231688104561909
24,tau,effsize,mcmc,915.527771011641
24,log_tau,mean,mcmc,0.699160937018416
24,log_tau,sd,mcmc,0.114135530166438
25,mu,mean,truth,2.66487597556648
25,tau,mean,truth,1.8960145329172
25,log_tau,mean,truth,0.63975406884417
25,mu,mean,mfvb,2.66691019139128
25,tau,mean,mfvb,1.85536206686093
25,log_tau,mean,mfvb,0.616094422069671
25,mu,sd,mfvb,0.0339826973875012
25,tau,sd,mfvb,0.116876824307066
25,log_tau,sd,mfvb,0.0630566245743312
25,mu,sd,lrvb,0.0479085751992508
25,tau,sd,lrvb,0.203684285676137
25,log_tau,sd,lrvb,0.109817323358064
25,mu,mean,mcmc,2.66584387524713
25,mu,sd,mcmc,0.0480316332483373
25,mu,effsize,mcmc,1447.11591207696
25,tau,mean,mcmc,1.80812569018513
25,tau,sd,mcmc,0.206381122995538
25,tau,effsize,mcmc,660.334891154454
25,log_tau,mean,mcmc,0.585843477974777
25,log_tau,sd,mcmc,0.113485737061005
26,mu,mean,truth,1.53905588064818
26,tau,mean,truth,1.12595233442498
26,log_tau,mean,truth,0.11862919704971
26,mu,mean,mfvb,1.56009588585883
26,tau,mean,mfvb,1.30123962662994
26,log_tau,mean,mfvb,0.261331929829719
26,mu,sd,mfvb,0.0405772738631125
26,tau,sd,mfvb,0.0819703916229851
26,log_tau,sd,mfvb,0.0630566245743312
